Position  (cm)	V (V)	n (cm-3)	p (cm-3)
4.05801487730198e-06	3.43459007593633e-26	5.62957939493378e-07	5.62957939493378e-07
4.1765313280453e-06	3.53489907870393e-26	5.60926518677516e-07	5.60926518677516e-07
4.29705140384734e-06	3.6369038935744e-26	5.58860754902293e-07	5.58860754902293e-07
4.41955630639218e-06	3.74058861017993e-26	5.56760970378592e-07	5.56760970378592e-07
4.54402520769783e-06	3.84593560030025e-26	5.54627522106609e-07	5.54627522106609e-07
4.67043524420705e-06	3.9529255128612e-26	5.5246080197714e-07	5.5246080197714e-07
4.79876151431052e-06	4.06153727183845e-26	5.50261236814031e-07	5.50261236814031e-07
4.92897707936172e-06	4.17174807711651e-26	5.48029288356789e-07	5.48029288356789e-07
5.06105296823508e-06	4.2835334083465e-26	5.45765453182445e-07	5.45765453182445e-07
5.19495818547057e-06	4.39686703183963e-26	5.43470262565962e-07	5.43470262565962e-07
5.33065972303897e-06	4.51172101052494e-26	5.41144282278565e-07	5.41144282278565e-07
5.46812257575335e-06	4.6280657169931e-26	5.38788112323587e-07	5.38788112323587e-07
5.60730976034315e-06	4.74586984964028e-26	5.36402386609528e-07	5.36402386609528e-07
5.74818233819792e-06	4.86510045191783e-26	5.33987772560222e-07	5.33987772560221e-07
5.89069944177833e-06	4.9857229346856e-26	5.31544970662137e-07	5.31544970662137e-07
6.03481830468259e-06	5.10770110165969e-26	5.29074713949027e-07	5.29074713949027e-07
6.1804942953468e-06	5.23099717793496e-26	5.26577767424294e-07	5.26577767424294e-07
6.32768095434795e-06	5.35557184155771e-26	5.24054927421599e-07	5.24054927421599e-07
6.47633003526869e-06	5.48138425811237e-26	5.21507020904419e-07	5.21507020904419e-07
6.62639154907349e-06	5.60839211828002e-26	5.1893490470543e-07	5.1893490470543e-07
6.77781381193565e-06	5.73655167831802e-26	5.16339464706723e-07	5.16339464706723e-07
6.93054349644592e-06	5.86581780340167e-26	5.13721614962074e-07	5.13721614962074e-07
7.08452568612311e-06	5.99614401376005e-26	5.11082296762606e-07	5.11082296762606e-07
7.23970393313863e-06	6.12748253353287e-26	5.08422477647367e-07	5.08422477647367e-07
7.3960203191573e-06	6.2597843422643e-26	5.05743150360495e-07	5.05743150360495e-07
7.55341551918811e-06	6.39299922894433e-26	5.03045331756789e-07	5.03045331756789e-07
7.71182886833e-06	6.52707584850081e-26	5.00330061657657e-07	5.00330061657657e-07
7.87119843128923e-06	6.6619617806367e-26	4.97598401659564e-07	4.97598401659564e-07
8.03146107453717e-06	6.79760359090239e-26	4.94851433897211e-07	4.94851433897211e-07
8.19255254096942e-06	6.93394689388551e-26	4.92090259763853e-07	4.92090259763853e-07
8.35440752691988e-06	7.07093641839301e-26	4.89315998591246e-07	4.89315998591246e-07
8.51695976137674e-06	7.20851607449756e-26	4.86529786291846e-07	4.86529786291846e-07
8.68014208724046e-06	7.34662902231207e-26	4.8373277396602e-07	4.8373277396602e-07
8.84388654445817e-06	7.48521774235206e-26	4.80926126477087e-07	4.80926126477087e-07
9.00812445486312e-06	7.62422410734192e-26	4.78111020997132e-07	4.78111020997132e-07
9.17278650854285e-06	7.76358945531389e-26	4.75288645526623e-07	4.75288645526623e-07
9.33780285155508e-06	7.90325466384872e-26	4.72460197390923e-07	4.72460197390923e-07
9.50310317480647e-06	8.04316022530016e-26	4.69626881716872e-07	4.69626881716872e-07
9.66861680390575e-06	8.1832463228439e-26	4.66789909892667e-07	4.66789909892667e-07
9.83427278979997e-06	8.32345290718977e-26	4.63950498014319e-07	4.63950498014319e-07
