Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
0.288	-3.1578e-11	-0.01521	-0.03042	-0.045631
0.276	-3.8484e-11	-0.015249	-0.030499	-0.045748
0.264	-4.292e-11	-0.015286	-0.030574	-0.04586
0.252	-4.5778e-11	-0.015322	-0.030645	-0.045968
0.24	-4.7609e-11	-0.015356	-0.030713	-0.04607
0.228	-4.8788e-11	-0.015389	-0.030779	-0.046168
0.216	-4.9544e-11	-0.01542	-0.030841	-0.046262
0.204	-5.0029e-11	-0.015451	-0.030902	-0.046353
0.192	-5.034e-11	-0.015479	-0.030959	-0.04644
0.18	-5.0539e-11	-0.015507	-0.031015	-0.046523
0.168	-5.0667e-11	-0.015534	-0.031068	-0.046604
0.156	-5.0749e-11	-0.01556	-0.03112	-0.046681
0.144	-5.0801e-11	-0.015585	-0.031169	-0.046755
0.132	-5.0834e-11	-0.015609	-0.031218	-0.046827
0.12	-5.0856e-11	-0.015632	-0.031264	-0.046896
0.108	-5.0869e-11	-0.015654	-0.031309	-0.046963
0.096	-5.0878e-11	-0.015676	-0.031352	-0.047028
0.084	-5.0884e-11	-0.015696	-0.031394	-0.04709
0.072	-5.0887e-11	-0.015717	-0.031434	-0.047151
0.06	-5.089e-11	-0.015736	-0.031472	-0.047209
0.048	-5.0891e-11	-0.015755	-0.03151	-0.047266
0.036	-5.0892e-11	-0.015773	-0.031547	-0.047321
0.024	-5.0893e-11	-0.015791	-0.031582	-0.047374
0.012	-5.0893e-11	-0.015808	-0.031616	-0.047425
0	-5.0893e-11	-0.015825	-0.03165	-0.047475
-0.012	-5.0893e-11	-0.015841	-0.031682	-0.047523
-0.024	-5.0893e-11	-0.015857	-0.031713	-0.04757
-0.036	-5.0893e-11	-0.015872	-0.031744	-0.047616
-0.048	-5.0894e-11	-0.015887	-0.031774	-0.04766
-0.06	-5.0894e-11	-0.015901	-0.031802	-0.047703
-0.072	-5.0894e-11	-0.015915	-0.03183	-0.047746
-0.084	-5.0894e-11	-0.015929	-0.031857	-0.047787
-0.096	-5.0894e-11	-0.015942	-0.031884	-0.047826
-0.108	-5.0894e-11	-0.015955	-0.03191	-0.047865
-0.12	-5.0894e-11	-0.015967	-0.031935	-0.047903
-0.132	-5.0894e-11	-0.015979	-0.031959	-0.047939
-0.144	-5.0894e-11	-0.015991	-0.031983	-0.047975
-0.156	-5.0894e-11	-0.016003	-0.032006	-0.04801
-0.168	-5.0894e-11	-0.016014	-0.032029	-0.048044
-0.18	-5.0894e-11	-0.016025	-0.032051	-0.048078
-0.192	-5.0894e-11	-0.016036	-0.032073	-0.04811
-0.204	-5.0894e-11	-0.016047	-0.032094	-0.048141
-0.216	-5.0894e-11	-0.016057	-0.032115	-0.048172
-0.228	-5.0894e-11	-0.016067	-0.032135	-0.048202
-0.24	-5.0894e-11	-0.016077	-0.032154	-0.048232
-0.252	-5.0894e-11	-0.016087	-0.032173	-0.048261
-0.264	-5.0894e-11	-0.016096	-0.032192	-0.048289
-0.276	-5.0894e-11	-0.016105	-0.03221	-0.048316
-0.288	-5.0894e-11	-0.016114	-0.032228	-0.048343
-0.3	-5.0894e-11	-0.016123	-0.032246	-0.048369
-0.312	-5.0894e-11	-0.016131	-0.032263	-0.048395
-0.324	-5.0894e-11	-0.01614	-0.03228	-0.04842
-0.336	-5.0894e-11	-0.016148	-0.032296	-0.048445
-0.348	-5.0894e-11	-0.016156	-0.032312	-0.048469
-0.36	-5.0894e-11	-0.016164	-0.032328	-0.048492
-0.372	-5.0894e-11	-0.016172	-0.032344	-0.048515
-0.384	-5.0894e-11	-0.016179	-0.032359	-0.048538
-0.396	-5.0894e-11	-0.016187	-0.032374	-0.04856
-0.408	-5.0894e-11	-0.016194	-0.032388	-0.048582
-0.42	-5.0894e-11	-0.016201	-0.032402	-0.048604
-0.432	-5.0894e-11	-0.016208	-0.032416	-0.048625
