Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
8.73967314797825e-07	-3	-6	-4.50062144412461	-4.49937855587539
9.1372390932983e-07	-3	-6	-4.50064998737408	-4.49935001262592
9.54889158946111e-07	-3	-6	-4.50067957521452	-4.49932042478548
9.97494656727125e-07	-3	-6	-4.50071023394772	-4.49928976605228
1.04157184149801e-06	-3	-6	-4.50074199001182	-4.49925800998818
1.08715195123332e-06	-3	-6	-4.50077486995854	-4.49922513004146
1.13426597520365e-06	-3	-6	-4.50080890042938	-4.49919109957062
1.18294460492552e-06	-3	-6	-4.50084410813117	-4.49915589186883
1.23321818398125e-06	-3	-6	-4.50088051981066	-4.49911948018934
1.28511665678053e-06	-3	-6	-4.50091816222837	-4.49908183777163
1.33866951634073e-06	-3	-6	-4.50095706213171	-4.49904293786829
1.39390575116806e-06	-3	-6	-4.50099724622722	-4.49900275377278
1.45085379132658e-06	-3	-6	-4.5010387411522	-4.4989612588478
1.50954145378716e-06	-3	-6	-4.50108157344548	-4.49891842655452
1.56999588715306e-06	-3	-6	-4.50112576951762	-4.49887423048238
1.63224351586357e-06	-3	-6	-4.50117135562032	-4.49882864437968
1.69630998398158e-06	-3	-6	-4.5012183578153	-4.4987816421847
1.76222009867518e-06	-3	-6	-4.50126680194238	-4.49873319805762
1.82999777350752e-06	-3	-6	-4.50131671358716	-4.49868328641284
1.89966597165294e-06	-3	-6	-4.50136811804798	-4.49863188195202
1.97124664916102e-06	-3	-6	-4.50142104030241	-4.49857895969759
2.0447606983935e-06	-3	-6	-4.50147550497319	-4.49852449502681
2.12022789176202e-06	-3	-6	-4.50153153629372	-4.49846846370628
2.19766682589737e-06	-3	-6	-4.5015891580731	-4.4984108419269
2.27709486638352e-06	-3	-6	-4.50164839366071	-4.49835160633929
2.35852809319125e-06	-3	-6	-4.50170926591047	-4.49829073408953
2.44198124694872e-06	-3	-6	-4.50177179714473	-4.49822820285527
2.52746767618673e-06	-3	-6	-4.50183600911783	-4.49816399088217
2.61499928569812e-06	-3	-6	-4.5019019229794	-4.4980980770206
2.70458648615088e-06	-3	-6	-4.50196955923746	-4.49803044076254
2.79623814509479e-06	-3	-6	-4.50203893772126	-4.49796106227874
