Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
6.7771209827089e-07	-3.81355433577716	-5.41355433577716	-5.00057481340642	-4.99999980262907
7.05615734866513e-07	-3.81411241132911	-5.41411241132912	-5.00059281338224	-4.99999978095502
7.34438291084568e-07	-3.81468886529534	-5.41468886529534	-5.00061101343915	-4.99999975706827
7.64202830740457e-07	-3.81528415894908	-5.41528415894908	-5.00062939806941	-4.99999973076201
7.94932708492795e-07	-3.81589875938032	-5.41589875938032	-5.00064795088764	-4.99999970181217
8.2665156209855e-07	-3.81653313934086	-5.41653313934086	-5.00066665465383	-4.99999966997618
8.59383304138806e-07	-3.81718777707885	-5.41718777707885	-5.00068549130158	-4.99999963499168
8.93152113208286e-07	-3.81786315616257	-5.41786315616257	-5.00070444197173	-4.99999959657516
9.27982424562175e-07	-3.81855976529339	-5.41855976529339	-5.00072348705152	-4.99999955442051
9.63898920214557e-07	-3.81927809810777	-5.41927809810777	-5.00074260621921	-4.9999995081975
1.00092651848324e-06	-3.82001865296811	-5.42001865296811	-5.00076177849426	-4.99999945755024
1.03909036297655e-06	-3.82078193274254	-5.42078193274254	-5.00078098229289	-4.99999940209549
1.07841581101817e-06	-3.82156844457342	-5.42156844457343	-5.00080019548903	-4.9999993414209
1.11892842150705e-06	-3.82237869963455	-5.42237869963455	-5.00081939548038	-4.99999927508326
1.16065394220993e-06	-3.82321321287701	-5.42321321287701	-5.00083855925939	-4.99999920260657
1.20361829648488e-06	-3.82407250276367	-5.42407250276368	-5.00085766348897	-4.99999912348009
1.24784756943508e-06	-3.82495709099231	-5.42495709099231	-5.00087668458236	-4.9999990371563
1.29336799349282e-06	-3.82586750220723	-5.42586750220723	-5.00089559878706	-4.99999894304877
1.34020593343452e-06	-3.82680426369964	-5.42680426369964	-5.00091438227204	-4.99999884053
1.38838787082855e-06	-3.82776790509662	-5.42776790509662	-5.00093301121802	-4.99999872892911
1.43794038791832e-06	-3.82875895803876	-5.42875895803876	-5.00095146190998	-4.99999860752956
1.48889015094427e-06	-3.82977795584666	-5.42977795584666	-5.00096971083145	-4.9999984755667
1.54126389290908e-06	-3.83082543317623	-5.43082543317623	-5.00098773475987	-4.9999983322253
1.59508839579139e-06	-3.831901925663	-5.431901925663	-5.00100551086226	-4.99999817663707
1.65039047221459e-06	-3.83300796955546	-5.43300796955546	-5.00102301679057	-4.99999800787801
1.70719694657769e-06	-3.83414410133777	-5.43414410133777	-5.00104023077578	-4.99999782496578
1.76553463565681e-06	-3.83531085734175	-5.43531085734175	-5.00105713172012	-4.99999762685705
1.8254303286864e-06	-3.83650877334854	-5.43650877334854	-5.00107369928656	-4.99999741244472
