Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
-0.247	-2.6388e-11	-0.016919	-0.033837	-0.050755
-0.26	-2.6238e-11	-0.016919	-0.033837	-0.050756
-0.273	-2.6091e-11	-0.016919	-0.033837	-0.050756
-0.286	-2.5945e-11	-0.016919	-0.033837	-0.050756
-0.299	-2.5802e-11	-0.016919	-0.033837	-0.050756
-0.312	-2.5661e-11	-0.016919	-0.033837	-0.050756
-0.325	-2.5523e-11	-0.016919	-0.033837	-0.050756
-0.338	-2.5386e-11	-0.016919	-0.033837	-0.050756
-0.351	-2.5251e-11	-0.016919	-0.033837	-0.050756
-0.364	-2.5119e-11	-0.016919	-0.033837	-0.050756
-0.377	-2.4989e-11	-0.016919	-0.033837	-0.050756
-0.39	-2.486e-11	-0.016919	-0.033837	-0.050756
-0.403	-2.4734e-11	-0.016919	-0.033837	-0.050756
-0.416	-2.4609e-11	-0.016919	-0.033837	-0.050756
-0.429	-2.4487e-11	-0.016919	-0.033837	-0.050756
-0.442	-2.4366e-11	-0.016919	-0.033837	-0.050756
-0.455	-2.4247e-11	-0.016919	-0.033837	-0.050756
-0.468	-2.413e-11	-0.016919	-0.033837	-0.050756
-0.481	-2.4015e-11	-0.016919	-0.033837	-0.050756
-0.494	-2.3901e-11	-0.016919	-0.033837	-0.050756
-0.507	-2.3789e-11	-0.016919	-0.033837	-0.050756
-0.52	-2.3679e-11	-0.016919	-0.033837	-0.050756
-0.533	-2.3571e-11	-0.016919	-0.033837	-0.050756
-0.546	-2.3464e-11	-0.016919	-0.033837	-0.050756
-0.559	-2.3358e-11	-0.016919	-0.033837	-0.050756
-0.572	-2.3255e-11	-0.016919	-0.033837	-0.050756
-0.585	-2.3152e-11	-0.016919	-0.033837	-0.050756
-0.598	-2.3052e-11	-0.016919	-0.033837	-0.050756
-0.611	-2.2952e-11	-0.016919	-0.033837	-0.050756
-0.624	-2.2854e-11	-0.016919	-0.033837	-0.050756
-0.637	-2.2758e-11	-0.016919	-0.033837	-0.050756
-0.65	-2.2663e-11	-0.016919	-0.033837	-0.050756
-0.663	-2.2569e-11	-0.016919	-0.033837	-0.050756
-0.676	-2.2476e-11	-0.016919	-0.033837	-0.050756
-0.689	-2.2385e-11	-0.016919	-0.033837	-0.050756
-0.702	-2.2295e-11	-0.016919	-0.033837	-0.050756
-0.715	-2.2207e-11	-0.016919	-0.033837	-0.050756
-0.728	-2.2119e-11	-0.016919	-0.033837	-0.050756
-0.741	-2.2033e-11	-0.016919	-0.033837	-0.050756
-0.754	-2.1948e-11	-0.016919	-0.033837	-0.050756
-0.767	-2.1864e-11	-0.016919	-0.033837	-0.050756
-0.78	-2.1782e-11	-0.016919	-0.033837	-0.050756
-0.793	-2.17e-11	-0.016919	-0.033837	-0.050756
-0.806	-2.162e-11	-0.016919	-0.033837	-0.050756
-0.819	-2.154e-11	-0.016919	-0.033837	-0.050756
-0.832	-2.1462e-11	-0.016919	-0.033837	-0.050756
-0.845	-2.1385e-11	-0.016919	-0.033837	-0.050756
-0.858	-2.1308e-11	-0.016919	-0.033837	-0.050756
-0.871	-2.1233e-11	-0.016919	-0.033837	-0.050756
-0.884	-2.1159e-11	-0.016919	-0.033837	-0.050756
-0.897	-2.1085e-11	-0.016919	-0.033837	-0.050756
-0.91	-2.1013e-11	-0.016919	-0.033838	-0.050756
-0.923	-2.0942e-11	-0.016919	-0.033838	-0.050756
-0.936	-2.0871e-11	-0.016919	-0.033838	-0.050756
-0.949	-2.0801e-11	-0.016919	-0.033838	-0.050756
-0.962	-2.0733e-11	-0.016919	-0.033838	-0.050756
-0.975	-2.0665e-11	-0.016919	-0.033838	-0.050756
-0.988	-2.0598e-11	-0.016919	-0.033838	-0.050756
-1.001	-2.0532e-11	-0.016919	-0.033838	-0.050756
-1.014	-2.0466e-11	-0.016919	-0.033838	-0.050756
-1.027	-2.0402e-11	-0.016919	-0.033838	-0.050756
-1.04	-2.0338e-11	-0.016919	-0.033838	-0.050756
-1.053	-2.0275e-11	-0.016919	-0.033838	-0.050756
-1.066	-2.0213e-11	-0.016919	-0.033838	-0.050756
-1.079	-2.0151e-11	-0.016919	-0.033838	-0.050756
