Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
3.01400959172138e-05	-3.8	-5.4	-4.6	-4.6
3.03357717805255e-05	-3.8	-5.4	-4.6	-4.6
3.0529330032712e-05	-3.8	-5.4	-4.6	-4.6
3.07207473002608e-05	-3.8	-5.4	-4.6	-4.6
3.09100014977298e-05	-3.8	-5.4	-4.6	-4.6
3.10970718292752e-05	-3.8	-5.4	-4.6	-4.6
3.12819387889221e-05	-3.8	-5.4	-4.6	-4.6
3.14645841595924e-05	-3.8	-5.4	-4.6	-4.6
3.16449910109046e-05	-3.8	-5.4	-4.6	-4.6
3.18231436957637e-05	-3.8	-5.4	-4.6	-4.6
3.19990278457589e-05	-3.8	-5.4	-4.6	-4.6
3.21726303653906e-05	-3.8	-5.4	-4.6	-4.6
3.23439394251479e-05	-3.8	-5.4	-4.6	-4.6
3.25129444534589e-05	-3.8	-5.4	-4.6	-4.6
3.26796361275395e-05	-3.8	-5.4	-4.6	-4.6
3.28440063631658e-05	-3.8	-5.4	-4.6	-4.6
3.30060483033967e-05	-3.8	-5.4	-4.6	-4.6
3.31657563062753e-05	-3.8	-5.4	-4.6	-4.6
3.33231259315375e-05	-3.8	-5.4	-4.6	-4.6
3.3478153926359e-05	-3.8	-5.4	-4.6	-4.6
3.36308382101703e-05	-3.8	-5.4	-4.6	-4.6
3.37811778585731e-05	-3.8	-5.4	-4.6	-4.6
3.39291730863902e-05	-3.8	-5.4	-4.6	-4.6
3.40748252298821e-05	-3.8	-5.4	-4.6	-4.6
3.42181367281654e-05	-3.8	-5.4	-4.6	-4.6
3.43591111038669e-05	-3.8	-5.4	-4.6	-4.6
3.44977529430495e-05	-3.8	-5.4	-4.6	-4.6
3.46340678744453e-05	-3.8	-5.4	-4.6	-4.6
3.47680625480328e-05	-3.8	-5.4	-4.6	-4.6
3.48997446129937e-05	-3.8	-5.4	-4.6	-4.6
3.50291226950871e-05	-3.8	-5.4	-4.6	-4.6
3.51562063734784e-05	-3.8	-5.4	-4.6	-4.6
3.5281006157059e-05	-3.8	-5.4	-4.6	-4.6
3.54035334602955e-05	-3.8	-5.4	-4.6	-4.6
3.55238005786444e-05	-3.8	-5.4	-4.6	-4.6
3.56418206635711e-05	-3.8	-5.4	-4.6	-4.6
3.57576076972086e-05	-3.8	-5.4	-4.6	-4.6
3.58711764666945e-05	-3.8	-5.4	-4.6	-4.6
3.59825425382227e-05	-3.8	-5.4	-4.6	-4.6
3.60917222308452e-05	-3.8	-5.4	-4.6	-4.6
3.61987325900616e-05	-3.8	-5.4	-4.6	-4.6
3.63035913612315e-05	-3.8	-5.4	-4.6	-4.6
3.6406316962845e-05	-3.8	-5.4	-4.6	-4.6
3.65069284596862e-05	-3.8	-5.4	-4.6	-4.6
3.66054455359237e-05	-3.8	-5.4	-4.6	-4.6
3.67018884681627e-05	-3.8	-5.4	-4.6	-4.6
3.6796278098491e-05	-3.8	-5.4	-4.6	-4.6
3.68886358075505e-05	-3.8	-5.4	-4.6	-4.6
3.6978983487668e-05	-3.8	-5.4	-4.6	-4.6
3.70673435160738e-05	-3.8	-5.4	-4.6	-4.6
3.71537387282404e-05	-3.8	-5.4	-4.6	-4.6
3.72381923913683e-05	-3.8	-5.4	-4.6	-4.6
3.73207281780496e-05	-3.8	-5.4	-4.6	-4.6
3.74013701401347e-05	-3.8	-5.4	-4.6	-4.6
3.7480142682831e-05	-3.8	-5.4	-4.6	-4.6
3.75570705390572e-05	-3.8	-5.4	-4.6	-4.6
3.76321787440793e-05	-3.8	-5.4	-4.6	-4.6
3.77054926104514e-05	-3.8	-5.4	-4.6	-4.6
3.77770377032842e-05	-3.8	-5.4	-4.6	-4.6
3.78468398158635e-05	-3.8	-5.4	-4.6	-4.6
3.79149249456379e-05	-3.8	-5.4	-4.6	-4.6
3.79813192705975e-05	-3.8	-5.4	-4.6	-4.6
3.80460491260605e-05	-3.8	-5.4	-4.6	-4.6
3.81091409818861e-05	-3.8	-5.4	-4.6	-4.6
3.81706214201303e-05	-3.8	-5.4	-4.6	-4.6
3.82305171131599e-05	-3.8	-5.4	-4.6	-4.6
3.8288854802239e-05	-3.8	-5.4	-4.6	-4.6
3.83456612766021e-05	-3.8	-5.4	-4.6	-4.6
3.84009633530253e-05	-3.8	-5.4	-4.6	-4.6
3.84547878559076e-05	-3.8	-5.4	-4.6	-4.6
3.85071615978724e-05	-3.8	-5.4	-4.6	-4.6
3.85581113608984e-05	-3.8	-5.4	-4.6	-4.6
3.86076638779882e-05	-3.8	-5.4	-4.6	-4.6
3.86558458153822e-05	-3.8	-5.4	-4.6	-4.6
3.87026837553239e-05	-3.8	-5.4	-4.6	-4.6
3.87482041793816e-05	-3.8	-5.4	-4.6	-4.6
3.87924334523318e-05	-3.8	-5.4	-4.6	-4.6
3.88353978066068e-05	-3.8	-5.4	-4.6	-4.6
3.88771233273096e-05	-3.8	-5.4	-4.6	-4.6
3.89176359377985e-05	-3.8	-5.4	-4.6	-4.6
3.89569613858401e-05	-3.8	-5.4	-4.6	-4.6
3.89951252303335e-05	-3.8	-5.4	-4.6	-4.6
3.90321528286021e-05	-3.8	-5.4	-4.6	-4.6
3.90680693242545e-05	-3.8	-5.4	-4.6	-4.6
3.91028996356084e-05	-3.8	-5.4	-4.6	-4.6
3.91366684446779e-05	-3.8	-5.4	-4.6	-4.6
3.91694001867181e-05	-3.8	-5.4	-4.6	-4.6
3.92011190403239e-05	-3.8	-5.4	-4.6	-4.6
3.92318489180762e-05	-3.8	-5.4	-4.6	-4.6
3.92616134577321e-05	-3.8	-5.4	-4.6	-4.6
3.92904360139502e-05	-3.8	-5.4	-4.6	-4.6
3.93183396505458e-05	-3.8	-5.4	-4.6	-4.6
3.93453471332682e-05	-3.8	-5.4	-4.6	-4.6
3.93714809230911e-05	-3.8	-5.4	-4.6	-4.6
