Position  (cm)	V (V)	n (cm-3)	p (cm-3)
1.50748416941634e-06	2.74852642467538e-07	1.65877212349427e-14	3.02068499622809e+16
1.59883751833422e-06	2.98331207718993e-07	1.6536317144732e-14	3.02068225286812e+16
1.69425448305346e-06	3.24263956767519e-07	1.6482619100772e-14	3.0206792227512e+16
1.79381948273912e-06	3.52993496545991e-07	1.64265781647793e-14	3.02067586584629e+16
1.89761241256026e-06	3.84919099497921e-07	1.63681477597581e-14	3.02067213550156e+16
2.00570821272893e-06	4.20506765640949e-07	1.63072838975506e-14	3.02066797726874e+16
2.11817643880331e-06	4.60301191490409e-07	1.62439454058587e-14	3.02066332750482e+16
2.23508083542726e-06	5.049400344824e-07	1.61780941538552e-14	3.02065811170542e+16
2.35647891574841e-06	5.55170944686687e-07	1.61096952755318e-14	3.02065224251497e+16
2.4824215488137e-06	6.11871936771393e-07	1.60387173899834e-14	3.02064561734669e+16
2.61295255728497e-06	6.76075798448075e-07	1.59651328178959e-14	3.02063811553099e+16
2.74810832784621e-06	7.48999381605103e-07	1.58889177935935e-14	3.0206295948935e+16
2.88791743668788e-06	8.32078804942949e-07	1.58100526721146e-14	3.02061988764267e+16
3.03240029245144e-06	9.27011819171847e-07	1.57285221309222e-14	3.02060879542066e+16
3.18156879899887e-06	1.03580885624863e-06	1.56443153660214e-14	3.02059608334e+16
3.33542604033634e-06	1.16085461304324e-06	1.55574262824548e-14	3.02058147278993e+16
3.49396598996833e-06	1.30498241945151e-06	1.54678536793801e-14	3.02056463274975e+16
3.65717324688866e-06	1.47156412644509e-06	1.53756014302097e-14	3.02054516928984e+16
3.82502280032717e-06	1.66461883836936e-06	1.52806786586123e-14	3.02052261287246e+16
3.997479825266e-06	1.88894452713941e-06	1.51830999115528e-14	3.02049640298114e+16
4.17449951061803e-06	2.1502774289634e-06	1.50828853309775e-14	3.02046586950701e+16
4.35602692182135e-06	2.45548516609078e-06	1.49800608262606e-14	3.02043021019901e+16
4.54199689944994e-06	2.81280079133799e-06	1.48746582501076e-14	3.02038846333903e+16
4.73233399527135e-06	3.23210646159047e-06	1.47667155812886e-14	3.02033947462725e+16
4.92695244699865e-06	3.72527725421902e-06	1.46562771183528e-14	3.02028185705335e+16
5.12575619278768e-06	4.3065977994627e-06	1.45433936893712e-14	3.02021394227834e+16
5.32863892632197e-06	4.99326697106028e-06	1.4428122883788e-14	3.02013372175454e+16
5.53548419310883e-06	5.80600892202689e-06	1.4310529313637e-14	3.02003877545873e+16
5.74616552838202e-06	6.7698123429312e-06	1.41906849127282e-14	3.01992618569958e+16
5.9605466367709e-06	7.91482403188859e-06	1.40686692839337e-14	3.01979243297619e+16
6.17848161365464e-06	9.27742777556507e-06	1.39445701064238e-14	3.0196332703017e+16
6.39981520787456e-06	1.09015452251602e-05	1.38184836166344e-14	3.01944357175857e+16
6.62438312523032e-06	1.28402019807569e-05	1.36905151788842e-14	3.01921715031233e+16
